Canonical Guardian Name	Guardian ID	mySociety ID
diane-abbott	4	10001
gerry-adams	17	10002
adam-afriyie	9411	11929
nick-ainger	33	10004
bob-ainsworth	36	10005
peter-ainsworth	35	10006
danny-alexander	9003	11995
douglas-alexander	48	10661
graham-allen	61	10008
david-amess	74	10009
michael-ancram	77	10010
david-anderson	11055	11427
janet-anderson	83	10012
james-arbuthnot	110	10013
hilary-armstrong	117	10014
charlotte-atkins	152	10018
peter-atkinson	158	10020
ian-austin	8715	11553
john-austin	169	10021
richard-bacon	6107	10707
adrian-bailey	185	10683
william-bain	11272	24697
vera-baird	6442	10709
norman-baker	199	10022
tony-baldry	202	10023
edward-balls	8785	11740
gordon-banks	8787	12005
gregory-barker	5764	10713
celia-barlow	6341	11644
john-baron	5765	10715
john-barrett	6673	10716
kevin-barron	262	10027
john-battle	287	10028
hugh-bayley	300	10029
margaret-beckett	319	10031
anne-begg	329	10032
alan-beith	334	10034
stuart-bell	347	10036
henry-bellingham	350	10726
hilary-benn	360	10669
joe-benton	379	10039
richard-benyon	380	11727
john-bercow	381	10040
paul-beresford	383	10041
roger-berry	396	10043
clive-betts	405	10045
brian-binley	9314	11742
liz-blackman	6363	10046
roberta-blackman-woods	8693	11558
hazel-blears	468	10048
bob-blizzard	470	10049
david-blunkett	477	10050
crispin-blunt	478	10051
peter-bone	6172	11915
david-borrow	512	10055
tim-boswell	515	10056
peter-bottomley	518	10057
ben-bradshaw	552	10061
graham-brady	556	10062
tom-brake	562	10063
julian-brazier	578	10065
colin-breed	580	10066
kevin-brennan	6334	10753
james-brokenshire	9255	11640
annette-brooke	6789	10754
gordon-brown	644	10068
lyn-brown	8859	11921
nick-brown	658	10069
russell-brown	662	10070
des-browne	666	10071
jeremy-browne	9078	11869
angela-browning	674	10072
malcolm-bruce	681	10074
chris-bryant	6444	10761
karen-buck	697	10075
richard-burden	725	10076
colin-burgon	730	10077
andy-burnham	10993	10766
simon-burns	748	10079
david-burrowes	5897	11573
paul-burstow	754	10080
alistair-burt	6031	10770
lorely-burt	6647	11823
dawn-butler	8668	11447
john-butterfill	775	10082
