First,Last,Constituency,Party,parlparse_id
"Steven","Agnew","North Down","Green Party",25121
"Steve","Aiken","South Antrim","Ulster Unionist Party",
"Andy","Allen","Belfast East","Ulster Unionist Party",25451
"Jim","Allister","North Antrim","Traditional Unionist Voice",25122
"Sydney","Anderson","Upper Bann","Democratic Unionist Party",24993
"Caoimhe","Archibald","East Londonderry","Sinn Féin",
"Kellie","Armstrong","Strangford","Alliance Party",
"Alex","Attwood","Belfast West","Social Democratic and Labour Party",13745
"Clare","Bailey","Belfast South","Green Party",
"Rosemary","Barton","Fermanagh and South Tyrone","Ulster Unionist Party",
"Doug","Beattie","Upper Bann","Ulster Unionist Party",
"Roy","Beggs","East Antrim","Ulster Unionist Party",13887
"Jonathan","Bell","Strangford","Democratic Unionist Party",24703
"Cathal","Boylan","Newry and Armagh","Sinn Féin",13892
"Michaela","Boyle","West Tyrone","Sinn Féin",25123
"Maurice","Bradley","East Londonderry","Democratic Unionist Party",
"Paula","Bradley","Belfast North","Democratic Unionist Party",25124
"Sinead","Bradley","South Down","Social Democratic and Labour Party",
"Paula","Bradshaw","Belfast South","Alliance Party",
"Keith","Buchanan","Mid Ulster","Democratic Unionist Party",
"Thomas","Buchanan","West Tyrone","Democratic Unionist Party",13758
"Joanne","Bunting","Belfast East","Democratic Unionist Party",
"Robbie","Butler","Lagan Valley","Ulster Unionist Party",
"Pam","Cameron","South Antrim","Democratic Unionist Party",25134
"Gerry","Carroll","Belfast West","People Before Profit Alliance",
"Alan","Chambers","North Down","Ulster Unionist Party",
"Trevor","Clarke","South Antrim","Democratic Unionist Party",13897
"Stewart","Dickson","East Antrim","Alliance Party",25126
"Linda","Dillon","Mid Ulster","Sinn Féin",
"Jo-Anne","Dobson","Upper Bann","Ulster Unionist Party",25127
"Sammy","Douglas","Belfast East","Democratic Unionist Party",25128
"Gordon","Dunne","North Down","Democratic Unionist Party",25129
"Mark","Durkan","Foyle","Social Democratic and Labour Party",25143
"Alex","Easton","North Down","Democratic Unionist Party",13780
"Colum","Eastwood","Foyle","Social Democratic and Labour Party",25130
"Stephen","Farry","North Down","Alliance Party",13899
"Megan","Fearon","Newry and Armagh","Sinn Féin",25160
"David","Ford","South Antrim","Alliance Party",13788
"Arlene","Foster","Fermanagh and South Tyrone","Democratic Unionist Party",13790
"Paul","Frew","North Antrim","Democratic Unionist Party",24981
"Michelle","Gildernew","Fermanagh and South Tyrone","Sinn Féin",
"Paul","Girvan","South Antrim","Democratic Unionist Party",13794
"Paul","Givan","Lagan Valley","Democratic Unionist Party",24972
"Brenda","Hale","Lagan Valley","Democratic Unionist Party",25123
"Simon","Hamilton","Strangford","Democratic Unionist Party",13900
"Claire","Hanna","Belfast South","Social Democratic and Labour Party",25447
"Chris","Hazzard","South Down","Sinn Féin",25154
"David","Hilditch","East Antrim","Democratic Unionist Party",13801
"William","Humphrey","Belfast North","Democratic Unionist Party",25011
"Ross","Hussey","West Tyrone","Ulster Unionist Party",25133
"William","Irwin","Newry and Armagh","Democratic Unionist Party",13901
"Declan","Kearney","South Antrim","Sinn Féin",
"Gerry","Kelly","Belfast North","Sinn Féin",13809
"Danny","Kennedy","Newry and Armagh","Ulster Unionist Party",13811
