ID,Member,PARTY,CONSTITUENCY,Cost of staying away from main home (2nd home),London costs,Office running costs,Staffing costs,Travel,Centrally provided stationary/postage,Staff cover & other,Comms allowance
Diane Abbott MP,0.00,2916,14225.18,105341.20,234,6271,1243,12233
Gerry Adams MP,21600.00,0,19757.61,98876.35,2398,0,0,0
Adam Afriyie MP,0.00,0,18659.66,102205.00,0,3385,0,0
Nick Ainger MP,11139.18,0,14806.14,93653.80,9065,5074,0,7154
Robert Ainsworth MP,20303.71,0,21180.22,86639.18,5526,2301,0,10379
Peter Ainsworth MP,10265.19,0,11061.65,96582.00,2341,1806,0,8713
Danny Alexander MP,21979.83,0,22878.46,89950.92,32949,4183,0,15684
Douglas Alexander MP,10262.00,0,15025.50,67297.39,11675,5990,0,8487
Graham Allen MP,23934.63,0,25753.44,95486.20,16903,6942,4292,10176
David Amess MP,19968.22,0,7668.88,85785.31,6762,5332,0,11776
Michael Ancram MP,10765.57,0,8063.02,102968.17,10007,2641,0,0
David Anderson MP,22891.45,0,12834.37,93533.00,14066,4346,0,9668
Janet Anderson MP,24006.00,0,25462.54,96897.20,14632,4153,0,9710
James Arbuthnot MP,24006.00,0,12315.06,92471.42,4566,1799,1829,9057
Hilary Armstrong MP,8970.45,0,13224.99,89532.54,17032,6966,0,11818
Charlotte Atkins MP,18193.80,0,21520.84,100324.70,11711,6984,0,10950
Peter Atkinson MP,24006.00,0,19619.85,90698.43,13050,1806,0,5115
Ian Austin MP,23262.11,0,22028.61,91886.81,10330,6999,0,11917
John Austin MP,21395.35,0,10922.58,111422.04,1439,1802,0,6939
Richard Bacon MP,24006.00,0,26812.67,94746.71,8166,5240,0,7145
Adrian Bailey MP,23310.90,0,15610.30,105825.98,6441,1598,0,1665
Vera Baird MP,15424.78,0,18152.18,99595.07,10024,1321,0,4526
Norman Baker MP,22133.33,0,26699.87,95698.00,6033,6260,0,9159
Tony Baldry MP,7829.03,0,14378.70,92827.93,4559,3739,0,21856
Ed Balls MP,11839.61,0,27746.68,88776.54,13705,5569,0,12147
