[2020-05-26 22:43:05] [DEBUG   ] --- Starting new HTTPS connection (1): query.wikidata.org:443 (connectionpool.py:941)
[2020-05-26 22:43:07] [DEBUG   ] --- https://query.wikidata.org:443 "GET /sparql?query=%0ASELECT+%0A++%3Fitem+%3FitemLabel+%0A++%3Fterm+%3FtermLabel+%0A++%3Fmember+%3FmemberLabel+%0A++%3Fparliamentarygroup+%3FparliamentarygroupLabel+%0A++%3Fpost+%3FpostLabel+%0A++%3FelectionLabel+%0A++%3Fstarttime+%3Fendtime+%0A++%3FendcauseLabel+%0A++%3Ftwfy_id%0AWHERE+%7B%0A++%3Fnode+++ps%3AP279+wd%3AQ3406079+.%0A++%3Fitem+++p%3AP279++%3Fnode+.%0A++%3Fterm+++ps%3AP39++%3Fitem+.%0A++%3Fmember+p%3AP39+++%3Fterm+.%0A++%3Fterm+++pq%3AP580+%3Fstarttime+.%0A++OPTIONAL+%7B+%3Fterm+wdt%3AP2171+%3Ftwfy_id+%7D%0A++OPTIONAL+%7B+%3Fterm+pq%3AP4100+%3Fparliamentarygroup+%7D%0A++OPTIONAL+%7B+%3Fterm+pq%3AP768+%3Fpost+%7D%0A++OPTIONAL+%7B+%3Fterm+pq%3AP582+%3Fendtime+%7D%0A++OPTIONAL+%7B+%3Fterm+pq%3AP1534+%3Fendcause+%7D%0A++OPTIONAL+%7B+%3Fterm+pq%3AP2715+%3Felection+%7D%0A++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22%5BAUTO_LANGUAGE%5D%2Cen%22.+%7D%0A%7D%0A&format=json HTTP/1.1" 200 None (connectionpool.py:442)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Delyth Evans's membership (Q5254977-568B0B5E-1377-4719-8129-C02BF6B7A8FC): (memberships.py:88)
[2020-05-26 22:43:08] [DEBUG   ] --- Creating parlparse ID for Delyth Evans's membership (Q5254977-568B0B5E-1377-4719-8129-C02BF6B7A8FC) (memberships.py:126)
[2020-05-26 22:43:08] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70001 (memberships.py:129)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Leighton Andrews's membership (Q6519732-3C6D3366-0DB4-410D-9F26-F9EE31403543): (memberships.py:88)
[2020-05-26 22:43:08] [DEBUG   ] --- Creating parlparse ID for Leighton Andrews's membership (Q6519732-3C6D3366-0DB4-410D-9F26-F9EE31403543) (memberships.py:126)
[2020-05-26 22:43:08] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70002 (memberships.py:129)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Richard Edwards's membership (Q7325461-24C9456D-878C-4499-BD61-A8864725BBA4): (memberships.py:88)
[2020-05-26 22:43:08] [DEBUG   ] --- Creating parlparse ID for Richard Edwards's membership (Q7325461-24C9456D-878C-4499-BD61-A8864725BBA4) (memberships.py:126)
[2020-05-26 22:43:08] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70003 (memberships.py:129)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Rod Richards's membership (Q7356340-54AB42B2-62A9-4FBD-96A8-FF664B6CE3B7): (memberships.py:88)
[2020-05-26 22:43:08] [DEBUG   ] --- Creating parlparse ID for Rod Richards's membership (Q7356340-54AB42B2-62A9-4FBD-96A8-FF664B6CE3B7) (memberships.py:126)
[2020-05-26 22:43:08] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70004 (memberships.py:129)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Rod Richards's membership (Q7356340-55771315-4df2-09d6-383f-9cb4603d4060): (memberships.py:88)
[2020-05-26 22:43:08] [DEBUG   ] --- Creating parlparse ID for Rod Richards's membership (Q7356340-55771315-4df2-09d6-383f-9cb4603d4060) (memberships.py:126)
[2020-05-26 22:43:08] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70005 (memberships.py:129)
[2020-05-26 22:43:08] [DEBUG   ] --- Looking at Tamsin Dunwoody's membership (Q7681863-CA4E7438-C31E-49A1-B56A-0E1E5C138529): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Tamsin Dunwoody's membership (Q7681863-CA4E7438-C31E-49A1-B56A-0E1E5C138529) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70006 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Alun Michael's membership (Q19397-F820D5EF-2B44-4FE5-BA5D-6E2C80F4ABF2): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Alun Michael's membership (Q19397-F820D5EF-2B44-4FE5-BA5D-6E2C80F4ABF2) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70007 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Alun Cairns's membership (Q268030-062ED74B-4427-4521-927C-8E37CFCF9071): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Alun Cairns's membership (Q268030-062ED74B-4427-4521-927C-8E37CFCF9071) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70008 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Alun Cairns's membership (Q268030-C64880AC-2373-4EC7-BD15-2C2BBEB7E3A9): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Alun Cairns's membership (Q268030-C64880AC-2373-4EC7-BD15-2C2BBEB7E3A9) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70009 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Cynog Dafis's membership (Q3405113-5C683D67-5BBA-492E-B1D3-04467E948CF7): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Cynog Dafis's membership (Q3405113-5C683D67-5BBA-492E-B1D3-04467E948CF7) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70010 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Ann Jones's membership (Q4766480-13E6F03F-3066-402A-923A-5C981987611E): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Ann Jones's membership (Q4766480-13E6F03F-3066-402A-923A-5C981987611E) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70011 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Ann Jones's membership (Q4766480-C1988C92-1114-4B65-80C2-E9C15170A24A): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Ann Jones's membership (Q4766480-C1988C92-1114-4B65-80C2-E9C15170A24A) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70012 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Brian Gibbons's membership (Q4963833-624CE46B-B393-4C6E-9A70-B9B5A23129F4): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Brian Gibbons's membership (Q4963833-624CE46B-B393-4C6E-9A70-B9B5A23129F4) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70013 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Brian Gibbons's membership (Q4963833-D9EA0925-747E-4FFD-915A-2CD3B976FDB4): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Brian Gibbons's membership (Q4963833-D9EA0925-747E-4FFD-915A-2CD3B976FDB4) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70014 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Christine Chapman's membership (Q5110965-80CF5CBF-1E29-4945-AF24-CD3227383CF2): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Christine Chapman's membership (Q5110965-80CF5CBF-1E29-4945-AF24-CD3227383CF2) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70015 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Christine Chapman's membership (Q5110965-E6940BCA-421B-4050-BF21-771DC2DB4BEB): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Christine Chapman's membership (Q5110965-E6940BCA-421B-4050-BF21-771DC2DB4BEB) (memberships.py:126)
[2020-05-26 22:43:09] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70016 (memberships.py:129)
[2020-05-26 22:43:09] [DEBUG   ] --- Looking at Christine Humphreys's membership (Q5111059-17B02577-93D0-4102-9B19-D7261D8283E1): (memberships.py:88)
[2020-05-26 22:43:09] [DEBUG   ] --- Creating parlparse ID for Christine Humphreys's membership (Q5111059-17B02577-93D0-4102-9B19-D7261D8283E1) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70017 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at David Lloyd's membership (Q5236695-4409E089-B94B-43FD-A726-6057A49E6BF5): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for David Lloyd's membership (Q5236695-4409E089-B94B-43FD-A726-6057A49E6BF5) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70018 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at David Lloyd's membership (Q5236695-4E217A57-1C10-4BBC-94F9-2289908F2688): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for David Lloyd's membership (Q5236695-4E217A57-1C10-4BBC-94F9-2289908F2688) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70019 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Eleanor Burnham's membership (Q5354231-910A53C1-A6E0-4BC1-863F-7A03C477E8B5): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Eleanor Burnham's membership (Q5354231-910A53C1-A6E0-4BC1-863F-7A03C477E8B5) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70020 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Eleanor Burnham's membership (Q5354231-EBD2A9AE-82CD-4FF3-AC38-BB065B8F7229): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Eleanor Burnham's membership (Q5354231-EBD2A9AE-82CD-4FF3-AC38-BB065B8F7229) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70021 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Irene James's membership (Q6069080-B4C6748A-A7B3-49D1-A68D-1298CDB8D40D): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Irene James's membership (Q6069080-B4C6748A-A7B3-49D1-A68D-1298CDB8D40D) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70022 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at John Griffiths's membership (Q6236400-66EEA711-AA18-491C-B236-0FB4B7398778): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for John Griffiths's membership (Q6236400-66EEA711-AA18-491C-B236-0FB4B7398778) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70023 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at John Griffiths's membership (Q6236400-E66CC167-65CB-4512-AA8A-D7D25EBDC82D): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for John Griffiths's membership (Q6236400-E66CC167-65CB-4512-AA8A-D7D25EBDC82D) (memberships.py:126)
[2020-05-26 22:43:10] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70024 (memberships.py:129)
[2020-05-26 22:43:10] [DEBUG   ] --- Looking at Owen John Thomas's membership (Q7114528-BD420499-0AFE-4F44-93F6-5D1189F9C378): (memberships.py:88)
[2020-05-26 22:43:10] [DEBUG   ] --- Creating parlparse ID for Owen John Thomas's membership (Q7114528-BD420499-0AFE-4F44-93F6-5D1189F9C378) (memberships.py:126)
